{'class_index': 0, 'class_label': 'apple', 'metrics': {'precision': 1.0, 'recall': 1.0, 'f1_score': 1.0, 'TP': 52, 'TN': 3396, 'FP': 0, 'FN': 0}}     
{'class_index': 1, 'class_label': 'ball', 'metrics': {'precision': 1.0, 'recall': 1.0, 'f1_score': 1.0, 'TP': 74, 'TN': 3374, 'FP': 0, 'FN': 0}}      
{'class_index': 2, 'class_label': 'banana', 'metrics': {'precision': 1.0, 'recall': 1.0, 'f1_score': 1.0, 'TP': 85, 'TN': 3363, 'FP': 0, 'FN': 0}}    
{'class_index': 3, 'class_label': 'bell_pepper', 'metrics': {'precision': 1.0, 'recall': 1.0, 'f1_score': 1.0, 'TP': 70, 'TN': 3378, 'FP': 0, 'FN': 0}}
{'class_index': 4, 'class_label': 'binder', 'metrics': {'precision': 0.984375, 'recall': 1.0, 'f1_score': 0.9921259842519685, 'TP': 63, 'TN': 3384, 'FP': 1, 'FN': 0}}
{'class_index': 5, 'class_label': 'bowl', 'metrics': {'precision': 1.0, 'recall': 1.0, 'f1_score': 1.0, 'TP': 57, 'TN': 3391, 'FP': 0, 'FN': 0}}      
{'class_index': 6, 'class_label': 'calculator', 'metrics': {'precision': 1.0, 'recall': 1.0, 'f1_score': 1.0, 'TP': 68, 'TN': 3380, 'FP': 0, 'FN': 0}}
{'class_index': 7, 'class_label': 'camera', 'metrics': {'precision': 1.0, 'recall': 1.0, 'f1_score': 1.0, 'TP': 57, 'TN': 3391, 'FP': 0, 'FN': 0}}    
{'class_index': 8, 'class_label': 'cap', 'metrics': {'precision': 0.9850746268656716, 'recall': 1.0, 'f1_score': 0.9924812030075187, 'TP': 66, 'TN': 3381, 'FP': 1, 'FN': 0}}
{'class_index': 9, 'class_label': 'cell_phone', 'metrics': {'precision': 1.0, 'recall': 1.0, 'f1_score': 1.0, 'TP': 51, 'TN': 3397, 'FP': 0, 'FN': 0}}
{'class_index': 10, 'class_label': 'cereal_box', 'metrics': {'precision': 1.0, 'recall': 1.0, 'f1_score': 1.0, 'TP': 80, 'TN': 3368, 'FP': 0, 'FN': 0}}
{'class_index': 11, 'class_label': 'coffee_mug', 'metrics': {'precision': 1.0, 'recall': 1.0, 'f1_score': 1.0, 'TP': 47, 'TN': 3401, 'FP': 0, 'FN': 0}}
{'class_index': 12, 'class_label': 'comb', 'metrics': {'precision': 1.0, 'recall': 0.9848484848484849, 'f1_score': 0.9923664122137404, 'TP': 65, 'TN': 3382, 'FP': 0, 'FN': 1}}
{'class_index': 13, 'class_label': 'dry_battery', 'metrics': {'precision': 1.0, 'recall': 1.0, 'f1_score': 1.0, 'TP': 58, 'TN': 3390, 'FP': 0, 'FN': 0}}
